,Year,male,female
0,1959,7,0
1,1960,19,0
2,1961,19,0
3,1962,27,1
4,1963,44,1
5,1964,48,1
6,1965,58,1
7,1966,76,1
8,1967,86,1
9,1968,94,1
10,1969,100,1
11,1970,104,1
12,1971,104,1
13,1972,106,1
14,1973,110,1
15,1974,110,1
16,1975,110,1
17,1976,118,1
18,1977,120,1
19,1978,167,7
20,1979,169,7
21,1980,188,10
22,1981,188,10
23,1982,193,10
24,1983,201,12
25,1984,223,15
26,1985,249,20
27,1986,249,20
28,1987,271,22
29,1988,273,22
30,1989,282,24
31,1990,308,29
32,1991,310,29
33,1992,337,33
34,1993,337,33
35,1994,346,34
36,1995,356,38
37,1996,390,45
38,1997,399,45
39,1998,427,48
40,1999,429,49
41,2000,444,52
42,2001,445,52
43,2002,445,52
44,2003,453,52
45,2004,463,54
46,2005,465,54
47,2006,471,57
48,2007,472,57
49,2008,475,57
50,2009,491,60
51,2010,493,60
52,2011,493,60
53,2012,495,61
54,2013,499,64
55,2014,499,64
56,2015,499,64
57,2016,499,64
58,2017,499,64
59,2018,500,64
